time,average_temperature(°C),average_humidity(%),average_co2(ppm),average_illumination(lux)
2024-04-15 00:00:00,23.918247126436782,47.91307471264368,634.2701149425287,47.91307471264368
2024-04-15 01:00:00,23.331073446327682,48.88135593220339,611.7833333333333,48.88135593220339
2024-04-15 02:00:00,23.240555555555556,48.54861111111111,591.6833333333333,48.54861111111111
2024-04-15 03:00:00,23.14847222222222,48.34652777777777,581.4333333333333,48.34652777777777
2024-04-15 04:00:00,22.95532212885154,48.40126050420168,570.2388888888889,48.40126050420168
2024-04-15 05:00:00,22.873389355742297,48.47549019607843,562.2666666666667,48.47549019607843
2024-04-15 06:00:00,23.012429378531074,48.64124293785311,552.1777777777777,48.64124293785311
2024-04-15 07:00:00,23.139027777777777,50.042361111111106,555.05,50.042361111111106
2024-04-15 08:00:00,23.374089635854343,50.5063025210084,575.5722222222223,50.5063025210084
2024-04-15 09:00:00,23.699579831932773,51.871148459383754,984.7555555555556,51.871148459383754
2024-04-15 10:00:00,23.89733893557423,50.34873949579832,1396.2666666666667,50.34873949579832
2024-04-15 11:00:00,24.035555555555558,51.12708333333333,1947.3111111111111,51.12708333333333
2024-04-15 12:00:00,24.310084033613446,52.65966386554622,1714.5611111111111,52.65966386554622
2024-04-15 13:00:00,24.660364145658264,55.49159663865546,1824.3944444444446,55.49159663865546
2024-04-15 14:00:00,25.189722222222223,56.572916666666664,2049.3055555555557,56.572916666666664
2024-04-15 15:00:00,25.186134453781513,54.60854341736695,2281.861111111111,54.60854341736695
2024-04-15 16:00:00,24.651388888888892,54.36111111111111,2191.311111111111,54.36111111111111
2024-04-15 17:00:00,24.574929971988798,55.80112044817927,2137.5,55.80112044817927
2024-04-15 18:00:00,24.467083333333335,56.046527777777776,1997.0166666666667,56.046527777777776
2024-04-15 19:00:00,24.23902777777778,56.22708333333333,1360.2666666666667,56.22708333333333
2024-04-15 20:00:00,24.03795518207283,56.109243697478995,1037.838888888889,56.109243697478995
2024-04-15 21:00:00,23.830694444444443,56.96875,836.5666666666667,56.96875
2024-04-15 22:00:00,23.427259887005647,58.70480225988701,746.7166666666667,58.70480225988701
2024-04-15 23:00:00,23.357222222222223,58.014583333333334,763.9055555555556,58.014583333333334
2024-04-16 00:00:00,23.226050420168068,58.38515406162465,732.0944444444444,7.025252525252526
2024-04-16 01:00:00,22.902083333333334,59.43472222222223,681.3555555555556,0.0
2024-04-16 02:00:00,22.847316384180793,59.309322033898304,607.7944444444444,0.0
2024-04-16 03:00:00,22.604166666666668,60.13125,548.4888888888889,0.0
2024-04-16 04:00:00,22.589166666666667,60.02708333333333,532.6611111111112,0.0
2024-04-16 05:00:00,22.853501400560223,59.11974789915966,524.8444444444444,0.0
2024-04-16 06:00:00,22.974027777777778,58.22708333333333,518.2444444444444,1.5
2024-04-16 07:00:00,23.057983193277312,57.68627450980392,531.5111111111112,24.516666666666666
2024-04-16 08:00:00,23.128991596638656,57.845938375350144,541.0111111111112,65.72222222222223
2024-04-16 09:00:00,23.29327731092437,57.69047619047619,829.8611111111111,64.72222222222223
2024-04-16 10:00:00,23.778055555555557,57.23055555555556,977.0388888888889,66.48333333333333
2024-04-16 11:00:00,24.425833333333333,56.09027777777778,1041.3277777777778,66.24444444444444
2024-04-16 12:00:00,24.564145658263307,53.0735294117647,699.6222222222223,65.66666666666667
2024-04-16 13:00:00,24.420833333333334,51.84861111111111,959.7388888888889,65.46666666666667
2024-04-16 14:00:00,24.606442577030815,50.97268907563025,1085.0722222222223,66.45
2024-04-16 15:00:00,24.571937321937323,48.57122507122507,817.6166666666667,67.76436781609196
2024-04-16 16:00:00,24.79019607843137,44.540616246498594,732.3611111111111,68.63333333333334
2024-04-16 17:00:00,25.20888888888889,39.801388888888894,835.2,66.15
2024-04-16 18:00:00,25.04327731092437,37.64425770308124,755.2944444444444,67.58333333333333
2024-04-16 19:00:00,24.446498599439774,35.24089635854342,616.5277777777777,69.0
2024-04-16 20:00:00,24.121944444444445,37.16597222222222,631.9,68.81111111111112
2024-04-16 21:00:00,23.928011204481795,38.85434173669468,609.7222222222223,68.96666666666667
2024-04-16 22:00:00,23.716666666666665,39.28611111111111,563.9444444444445,68.9
2024-04-16 23:00:00,23.604341736694675,39.554621848739494,545.5055555555556,68.26666666666667
2024-04-17 00:00:00,23.503333333333334,39.08095238095238,588.3,36.6
2024-04-17 01:00:00,23.486516853932585,37.27153558052434,533.3833333333333,0.0
2024-04-17 02:00:00,23.36240740740741,36.84074074074074,519.5444444444445,0.0
2024-04-17 03:00:00,23.080555555555556,37.16388888888889,520.0388888888889,0.0
2024-04-17 04:00:00,22.993258426966293,37.325842696629216,515.2944444444445,0.0
2024-04-17 05:00:00,22.962407407407408,37.51481481481482,517.55,0.1
2024-04-17 06:00:00,22.839772727272727,37.67329545454545,524.8833333333333,1.45
2024-04-17 07:00:00,22.79314814814815,37.56111111111111,532.1944444444445,39.766666666666666
2024-04-17 08:00:00,22.952808988764044,37.340823970037455,540.2222222222222,66.8
2024-04-17 09:00:00,23.318333333333335,38.90925925925926,738.85,65.55555555555556
2024-04-17 10:00:00,23.79550561797753,38.44662921348315,778.838888888889,65.99444444444444
2024-04-17 11:00:00,24.3612962962963,37.3,790.4833333333333,65.5111111111111
2024-04-17 12:00:00,24.42351851851852,34.67592592592593,599.95,66.4888888888889
2024-04-17 13:00:00,24.6563670411985,36.28932584269663,765.7777777777777,66.63888888888889
2024-04-17 14:00:00,25.02537037037037,36.093518518518515,781.838888888889,65.6
