time,total_power(Wh),total_power_usage(Kwh)
2024-04-15 00:00:00,2234.5,0.19999999999998863
2024-04-15 01:00:00,6152.5,0.19999999999998863
2024-04-15 02:00:00,5315.5,0.19999999999998863
2024-04-15 03:00:00,3457.5,0.10000000000002274
2024-04-15 04:00:00,6012.5,0.19999999999998863
2024-04-15 05:00:00,4620.0,0.10000000000002274
2024-04-15 06:00:00,4403.0,0.19999999999998863
2024-04-15 07:00:00,5291.0,0.19999999999998863
2024-04-15 08:00:00,4500.0,0.10000000000002274
2024-04-15 09:00:00,27193.0,0.8999999999999773
2024-04-15 10:00:00,4569.0,0.19999999999998863
2024-04-15 11:00:00,2577.0,0.0
2024-04-15 12:00:00,14635.0,0.5
2024-04-15 13:00:00,11375.0,0.4000000000000341
2024-04-15 14:00:00,37959.0,1.25
2024-04-15 15:00:00,51514.0,1.6999999999999886
2024-04-15 16:00:00,60389.0,2.0
2024-04-15 17:00:00,61168.0,2.0500000000000114
2024-04-15 18:00:00,49459.5,1.6999999999999886
2024-04-15 19:00:00,30552.0,1.0
2024-04-15 20:00:00,33506.0,1.099999999999966
2024-04-15 21:00:00,31696.0,1.1000000000000227
2024-04-15 22:00:00,29096.5,1.0
2024-04-15 23:00:00,19477.0,0.6000000000000227
2024-04-16 00:00:00,3719.5,0.0999999999999659
2024-04-16 01:00:00,7291.5,0.30000000000001137
2024-04-16 02:00:00,2901.0,0.10000000000002274
2024-04-16 03:00:00,4307.5,0.0999999999999659
2024-04-16 04:00:00,7278.5,0.30000000000001137
2024-04-16 05:00:00,2490.0,0.10000000000002274
2024-04-16 06:00:00,4663.0,0.0999999999999659
2024-04-16 07:00:00,7227.0,0.30000000000001137
2024-04-16 08:00:00,2953.5,0.10000000000002274
2024-04-16 09:00:00,18406.0,0.5
2024-04-16 10:00:00,38226.0,1.349999999999966
2024-04-16 11:00:00,41408.0,1.3000000000000114
2024-04-16 12:00:00,75080.5,2.5500000000000114
2024-04-16 13:00:00,70538.5,2.3999999999999773
2024-04-16 14:00:00,96583.5,3.1000000000000227
2024-04-16 15:00:00,97174.0,3.1999999999999886
2024-04-16 16:00:00,77764.5,2.6000000000000227
2024-04-16 17:00:00,82247.5,2.75
2024-04-16 18:00:00,62831.5,2.1499999999999773
2024-04-16 19:00:00,45469.0,1.5
2024-04-16 20:00:00,45905.5,1.5
2024-04-16 21:00:00,46854.0,1.5500000000000114
2024-04-16 22:00:00,36218.5,1.25
2024-04-16 23:00:00,34111.0,1.099999999999966
2024-04-17 00:00:00,21539.0,0.8000000000000114
2024-04-17 01:00:00,5353.5,0.10000000000002274
2024-04-17 02:00:00,5546.0,0.19999999999998863
2024-04-17 03:00:00,3251.0,0.10000000000002274
2024-04-17 04:00:00,5137.0,0.19999999999998863
2024-04-17 05:00:00,5507.5,0.19999999999998863
2024-04-17 06:00:00,4655.5,0.14999999999997726
2024-04-17 07:00:00,4655.5,0.1500000000000341
2024-04-17 08:00:00,5404.5,0.19999999999998863
2024-04-17 09:00:00,18205.5,0.5500000000000114
2024-04-17 10:00:00,21664.5,0.75
2024-04-17 11:00:00,2402.5,0.0999999999999659
2024-04-17 12:00:00,6006.5,0.20000000000004547
2024-04-17 13:00:00,65358.5,2.1999999999999886
2024-04-17 14:00:00,6256.0,0.19999999999998863
2024-04-17 15:00:00,3066.0,0.10000000000002274
2024-04-17 16:00:00,30510.5,0.9499999999999886
2024-04-17 17:00:00,52665.0,1.75
2024-04-17 18:00:00,42348.5,1.3999999999999773
2024-04-17 19:00:00,48719.0,1.6000000000000227
2024-04-17 20:00:00,35929.5,1.1999999999999886
2024-04-17 21:00:00,35235.5,1.1999999999999886
2024-04-17 22:00:00,37965.5,1.3000000000000114
2024-04-17 23:00:00,39496.0,1.3000000000000114
2024-04-18 00:00:00,37777.5,1.3000000000000114
2024-04-18 01:00:00,34661.0,1.099999999999966
2024-04-18 02:00:00,14230.0,0.5
2024-04-18 03:00:00,4164.5,0.19999999999998863
2024-04-18 04:00:00,4457.5,0.10000000000002274
2024-04-18 05:00:00,6011.0,0.19999999999998863
2024-04-18 06:00:00,4771.0,0.19999999999998863
2024-04-18 07:00:00,4515.0,0.10000000000002274
2024-04-18 08:00:00,12855.0,0.39999999999997726
2024-04-18 09:00:00,62712.5,2.1000000000000227
2024-04-18 10:00:00,57648.0,1.8999999999999773
2024-04-18 11:00:00,68663.5,2.3000000000000114
2024-04-18 12:00:00,98222.0,3.3000000000000114
2024-04-18 13:00:00,88622.5,2.9499999999999886
2024-04-18 14:00:00,83754.5,2.8000000000000114
2024-04-18 15:00:00,75809.5,2.5500000000000114
2024-04-18 16:00:00,62779.0,2.75
2024-04-18 17:00:00,84985.5,2.849999999999966
2024-04-18 18:00:00,67484.0,2.25
2024-04-18 19:00:00,65130.0,2.2000000000000455
2024-04-18 20:00:00,70117.5,2.349999999999966
