time,total_power(Wh)
2024-04-21 10:00:00,4894.0
2024-04-21 11:00:00,4508.0
2024-04-21 12:00:00,6395.5
2024-04-21 13:00:00,26326.5
2024-04-21 14:00:00,14611.5
2024-04-21 15:00:00,60791.0
2024-04-21 16:00:00,55557.5
2024-04-21 17:00:00,52146.0
2024-04-21 18:00:00,59969.5
2024-04-21 19:00:00,23780.5
2024-04-21 20:00:00,2490.0
2024-04-21 21:00:00,2977.0
2024-04-21 22:00:00,7267.5
2024-04-21 23:00:00,4847.0
2024-04-22 00:00:00,8747.0
2024-04-22 01:00:00,6687.0
2024-04-22 02:00:00,6468.0
2024-04-22 03:00:00,2237.5
2024-04-22 04:00:00,6706.5
2024-04-22 05:00:00,4991.5
2024-04-22 06:00:00,2621.5
2024-04-22 07:00:00,7719.5
2024-04-22 08:00:00,3734.0
2024-04-22 09:00:00,4248.5
2024-04-22 10:00:00,24521.0
2024-04-22 11:00:00,72989.5
2024-04-22 12:00:00,3050.0
2024-04-22 13:00:00,4414.0
2024-04-22 14:00:00,6445.5
2024-04-22 15:00:00,4389.5
2024-04-22 16:00:00,41902.0
2024-04-22 17:00:00,53887.0
2024-04-22 18:00:00,43506.5
2024-04-22 19:00:00,1754.0
2024-04-22 20:00:00,46095.5
2024-04-22 21:00:00,27116.0
2024-04-22 22:00:00,2980.5
2024-04-22 23:00:00,4531.5
2024-04-23 00:00:00,5129.5
2024-04-23 01:00:00,4735.5
2024-04-23 02:00:00,4589.0
2024-04-23 03:00:00,5660.5
2024-04-23 04:00:00,4473.0
2024-04-23 05:00:00,4960.0
2024-04-23 06:00:00,5190.0
2024-04-23 07:00:00,5142.5
2024-04-23 08:00:00,5084.0
2024-04-23 09:00:00,35985.0
2024-04-23 10:00:00,43369.0
2024-04-23 11:00:00,44421.0
2024-04-23 12:00:00,45021.0
2024-04-23 13:00:00,95555.5
2024-04-23 14:00:00,84677.0
2024-04-23 15:00:00,79485.0
2024-04-23 16:00:00,88619.5
2024-04-23 17:00:00,87877.0
2024-04-23 18:00:00,61476.0
2024-04-23 19:00:00,52241.5
2024-04-23 20:00:00,41569.5
2024-04-23 21:00:00,44246.0
2024-04-23 22:00:00,40253.0
2024-04-23 23:00:00,39886.0
2024-04-24 00:00:00,19547.5
2024-04-24 01:00:00,1779.5
2024-04-24 02:00:00,4864.5
2024-04-24 03:00:00,7221.5
2024-04-24 04:00:00,5187.5
2024-04-24 05:00:00,3406.5
2024-04-24 06:00:00,4543.0
2024-04-24 07:00:00,6700.5
2024-04-24 08:00:00,6949.0
2024-04-24 09:00:00,42550.0
2024-04-24 10:00:00,64159.0
2024-04-24 11:00:00,3235.5
2024-04-24 12:00:00,4498.5
2024-04-24 13:00:00,55783.5
2024-04-24 14:00:00,72913.0
2024-04-24 15:00:00,65004.5
2024-04-24 16:00:00,51767.0
2024-04-24 17:00:00,61260.0
2024-04-24 18:00:00,18562.0
2024-04-24 19:00:00,36533.0
2024-04-24 20:00:00,33124.5
2024-04-24 21:00:00,3269.0
2024-04-24 22:00:00,7194.0
2024-04-24 23:00:00,4535.5
2024-04-25 00:00:00,2730.0
2024-04-25 01:00:00,6955.0
2024-04-25 02:00:00,6251.5
2024-04-25 03:00:00,2244.5
2024-04-25 04:00:00,5261.0
2024-04-25 05:00:00,7222.5
2024-04-25 06:00:00,6379.0
2024-04-25 07:00:00,2141.5
2024-04-25 08:00:00,5494.0
2024-04-25 09:00:00,36480.0
2024-04-25 10:00:00,53484.0
2024-04-25 11:00:00,18951.0
2024-04-25 12:00:00,30232.5
2024-04-25 13:00:00,65736.5
2024-04-25 14:00:00,75792.5
2024-04-25 15:00:00,88750.5
2024-04-25 16:00:00,88340.5
2024-04-25 17:00:00,75576.66666666667
2024-04-25 18:00:00,61017.0
2024-04-25 19:00:00,44130.5
2024-04-25 20:00:00,41279.5
2024-04-25 21:00:00,47248.0
2024-04-25 22:00:00,40777.0
2024-04-25 23:00:00,37725.5
2024-04-26 00:00:00,36295.0
2024-04-26 01:00:00,43191.0
2024-04-26 02:00:00,37303.0
2024-04-26 03:00:00,33852.0
2024-04-26 04:00:00,40019.5
2024-04-26 05:00:00,18182.0
2024-04-26 06:00:00,25877.5
2024-04-26 07:00:00,19932.5
2024-04-26 08:00:00,24649.0
2024-04-26 09:00:00,98067.5
2024-04-26 10:00:00,77024.0
2024-04-26 11:00:00,79975.5
2024-04-26 12:00:00,68606.5
2024-04-26 13:00:00,91817.0
2024-04-26 14:00:00,94232.5
2024-04-26 15:00:00,88828.0
2024-04-26 16:00:00,93774.5
2024-04-26 17:00:00,81491.0
2024-04-26 18:00:00,72435.5
2024-04-26 19:00:00,34699.5
2024-04-26 20:00:00,50346.5
2024-04-26 21:00:00,52574.0
2024-04-26 22:00:00,44413.5
2024-04-26 23:00:00,41174.0
2024-04-27 00:00:00,35489.0
2024-04-27 01:00:00,31331.0
2024-04-27 02:00:00,30579.0
2024-04-27 03:00:00,27100.0
2024-04-27 04:00:00,29103.0
2024-04-27 05:00:00,27025.5
2024-04-27 06:00:00,29401.5
2024-04-27 07:00:00,24596.5
2024-04-27 08:00:00,29531.5
2024-04-27 09:00:00,30183.5
2024-04-27 10:00:00,33368.0
2024-04-27 11:00:00,45014.0
2024-04-27 12:00:00,41531.5
2024-04-27 13:00:00,41619.0
2024-04-27 14:00:00,125270.5
2024-04-27 15:00:00,155805.5
2024-04-27 16:00:00,116140.5
2024-04-27 17:00:00,78209.5
2024-04-27 18:00:00,40667.5
2024-04-27 19:00:00,38938.5
2024-04-27 20:00:00,118327.5
2024-04-27 21:00:00,97689.5
2024-04-27 22:00:00,84440.0
2024-04-27 23:00:00,95453.0
2024-04-28 00:00:00,92201.5
2024-04-28 01:00:00,79402.0
2024-04-28 02:00:00,83278.5
2024-04-28 03:00:00,97245.5
2024-04-28 04:00:00,76139.0
2024-04-28 05:00:00,77246.0
2024-04-28 06:00:00,76495.5
2024-04-28 07:00:00,96851.5
2024-04-28 08:00:00,97857.0
2024-04-28 09:00:00,92461.5
2024-04-28 10:00:00,106038.0
2024-04-28 11:00:00,105637.0
2024-04-28 12:00:00,98875.0
2024-04-28 13:00:00,97529.0
2024-04-28 14:00:00,108732.5
2024-04-28 15:00:00,97642.0
2024-04-28 16:00:00,92001.5
2024-04-28 17:00:00,91535.5
2024-04-28 18:00:00,69755.0
2024-04-28 19:00:00,54534.5
2024-04-28 20:00:00,63297.0
2024-04-28 21:00:00,44705.5
2024-04-28 22:00:00,31718.5
2024-04-28 23:00:00,34054.5
2024-04-29 00:00:00,31261.5
2024-04-29 01:00:00,36517.5
2024-04-29 02:00:00,29691.0
2024-04-29 03:00:00,23072.0
2024-04-29 04:00:00,33194.5
2024-04-29 05:00:00,27472.0
2024-04-29 06:00:00,31096.0
2024-04-29 07:00:00,25218.0
2024-04-29 08:00:00,18744.5
2024-04-29 09:00:00,87922.5
2024-04-29 10:00:00,84482.5
2024-04-29 11:00:00,65496.0
