time,cumulative,average_temperature(°C),average_humidity(%),average_co2(ppm),average_illumination(lux)
2024-04-18 12:00:00,0.056,3.192,3.757,7.11,4.185
2024-04-18 13:00:00,0.461,3.178,3.746,6.903,4.175
2024-04-18 14:00:00,0.749,3.189,3.78,7.11,4.188
2024-04-18 15:00:00,0.535,3.205,3.795,7.243,4.199
2024-04-18 16:00:00,0.573,3.22,3.796,7.27,4.161
2024-04-18 17:00:00,0.774,3.228,3.797,7.251,4.202
2024-04-18 18:00:00,0.633,3.219,3.807,7.254,4.185
2024-04-18 19:00:00,0.273,3.208,3.813,7.248,4.179
2024-04-18 20:00:00,0.273,3.184,3.812,7.115,4.201
2024-04-18 21:00:00,0.783,3.16,3.799,6.846,4.202
2024-04-18 22:00:00,0.678,3.145,3.804,6.825,4.202
2024-04-18 23:00:00,0.678,3.135,3.797,6.749,4.203
2024-04-19 00:00:00,0.678,3.125,3.811,6.521,3.982
2024-04-19 01:00:00,0.678,3.142,3.81,6.355,0.0
2024-04-19 02:00:00,0.678,3.154,3.802,6.291,0.0
2024-04-19 03:00:00,0.678,3.159,3.788,6.27,0.0
2024-04-19 04:00:00,0.678,3.162,3.772,6.265,0.0
2024-04-19 05:00:00,0.678,3.162,3.758,6.261,0.0
2024-04-19 06:00:00,0.678,3.161,3.759,6.268,0.0
2024-04-19 07:00:00,0.678,3.16,3.767,6.275,0.434
2024-04-19 08:00:00,0.678,3.16,3.771,6.291,2.044
2024-04-19 09:00:00,0.678,3.13,3.788,6.325,4.227
2024-04-19 10:00:00,1.021,3.126,3.826,6.827,4.201
2024-04-19 11:00:00,1.07,3.14,3.824,7.162,4.204
2024-04-19 12:00:00,0.612,3.155,3.794,7.274,4.2
2024-04-19 13:00:00,0.867,3.14,3.736,6.96,4.204
2024-04-19 14:00:00,1.102,3.151,3.797,7.153,4.199
2024-04-19 15:00:00,0.996,3.171,3.809,7.24,4.227
2024-04-19 16:00:00,0.969,3.193,3.832,7.28,4.22
2024-04-19 17:00:00,0.935,3.207,3.846,7.281,4.212
2024-04-19 18:00:00,0.908,3.213,3.864,7.264,4.174
2024-04-19 19:00:00,0.262,3.197,3.872,7.218,4.197
2024-04-19 20:00:00,0.58,3.164,3.831,6.955,4.204
2024-04-19 21:00:00,1.273,3.144,3.825,6.779,4.205
2024-04-19 22:00:00,1.679,3.131,3.835,6.621,4.204
2024-04-19 23:00:00,1.679,3.125,3.84,6.542,4.204
2024-04-20 00:00:00,1.679,3.121,3.833,6.518,3.572
2024-04-20 01:00:00,1.679,3.143,3.832,6.419,0.0
2024-04-20 02:00:00,1.679,3.158,3.824,6.354,0.0
2024-04-20 03:00:00,1.679,3.166,3.815,6.325,0.0
2024-04-20 04:00:00,1.679,3.171,3.813,6.312,0.0
2024-04-20 05:00:00,1.679,3.174,3.813,6.306,0.0
2024-04-20 06:00:00,1.679,3.175,3.813,6.292,0.0
2024-04-20 07:00:00,1.679,3.176,3.813,6.297,0.204
2024-04-20 08:00:00,1.679,3.176,3.81,6.29,0.392
2024-04-20 09:00:00,1.679,3.177,3.807,6.298,0.456
2024-04-20 10:00:00,1.983,3.177,3.806,6.294,0.451
2024-04-20 11:00:00,2.052,3.178,3.809,6.302,0.0
2024-04-20 12:00:00,1.377,3.179,3.822,6.285,0.0
2024-04-20 13:00:00,1.782,3.181,3.844,6.278,3.291
2024-04-20 14:00:00,2.07,3.189,3.882,6.351,4.205
2024-04-20 15:00:00,1.857,3.198,3.896,6.415,4.205
2024-04-20 16:00:00,1.894,3.207,3.895,6.459,4.205
2024-04-20 17:00:00,2.095,3.214,3.907,6.5,4.204
2024-04-20 18:00:00,1.954,3.2,3.875,6.531,4.203
