time,ac_in_power(Kwh),ac_out_power(Kwh),automatic_door_power(Kwh)
2024-04-18 14:00:00,0.10000000000000142,2.650000000000034,0.0
2024-04-18 15:00:00,0.09999999999999787,2.4499999999999886,0.0
2024-04-18 16:00:00,0.10000000000000142,2.6999999999999886,0.0
2024-04-18 17:00:00,0.09999999999999787,2.6999999999999886,0.0
2024-04-18 18:00:00,0.0,2.150000000000034,0.0
2024-04-18 19:00:00,0.10000000000000142,2.099999999999966,0.0
2024-04-18 20:00:00,0.10000000000000142,2.25,0.0
2024-04-18 21:00:00,0.09999999999999787,2.6000000000000227,0.0
2024-04-18 22:00:00,0.10000000000000142,2.0500000000000114,0.0
2024-04-18 23:00:00,0.09999999999999787,1.6999999999999886,0.09999999999999964
2024-04-19 00:00:00,0.0,0.10000000000002274,0.0
2024-04-19 01:00:00,0.0,0.0999999999999659,0.0
2024-04-19 02:00:00,0.0,0.10000000000002274,0.0
2024-04-19 03:00:00,0.0,0.0999999999999659,0.0
2024-04-19 04:00:00,0.10000000000000142,0.20000000000004547,0.0
2024-04-19 05:00:00,0.0,0.0999999999999659,0.0
2024-04-19 06:00:00,0.0,0.10000000000002274,0.0
2024-04-19 07:00:00,0.10000000000000142,0.9999999999999432,0.0
2024-04-19 08:00:00,0.09999999999999787,3.9500000000000455,0.0
2024-04-19 09:00:00,0.1999999999999993,4.300000000000011,0.0
2024-04-19 10:00:00,0.10000000000000142,3.3999999999999773,0.09999999999999964
2024-04-19 11:00:00,0.1999999999999993,4.0,0.0
2024-04-19 12:00:00,0.10000000000000142,2.8000000000000114,0.0
2024-04-19 13:00:00,0.09999999999999787,2.8000000000000114,0.0
2024-04-19 14:00:00,0.15000000000000213,3.1999999999999886,0.0
2024-04-19 15:00:00,0.14999999999999858,2.8500000000000227,0.0
2024-04-19 16:00:00,0.10000000000000142,2.6999999999999886,0.0
2024-04-19 17:00:00,0.09999999999999787,2.6999999999999886,0.0
2024-04-19 18:00:00,0.10000000000000142,3.0,0.0
2024-04-19 19:00:00,0.1999999999999993,2.5500000000000114,0.0
2024-04-19 20:00:00,0.10000000000000142,2.599999999999966,0.10000000000000053
2024-04-19 21:00:00,0.09999999999999787,2.25,0.0
